GEO_ID,NAME,S1501_C01_015E,total pop over 25
51001,"Accomack County, Virginia",4576,23507
51003,"Albemarle County, Virginia",40215,72937
51005,"Alleghany County, Virginia",1688,11228
51007,"Amelia County, Virginia",1591,9283
51009,"Amherst County, Virginia",4339,22723
51011,"Appomattox County, Virginia",2319,11114
51013,"Arlington County, Virginia",130252,172979
51015,"Augusta County, Virginia",12526,55109
51017,"Bath County, Virginia",500,3148
51019,"Bedford County, Virginia",16558,56691
51021,"Bland County, Virginia",701,4945
51023,"Botetourt County, Virginia",6943,24512
51025,"Brunswick County, Virginia",1670,12305
51027,"Buchanan County, Virginia",1924,16363
51029,"Buckingham County, Virginia",1582,12674
51031,"Campbell County, Virginia",8945,39844
51033,"Caroline County, Virginia",4053,20376
51035,"Carroll County, Virginia",3340,22236
51036,"Charles City County, Virginia",803,5459
51037,"Charlotte County, Virginia",918,8449
51041,"Chesterfield County, Virginia",93507,231044
51043,"Clarke County, Virginia",3332,10358
51045,"Craig County, Virginia",892,3774
51047,"Culpeper County, Virginia",8844,34346
51049,"Cumberland County, Virginia",1057,7105
51051,"Dickenson County, Virginia",1165,10850
51053,"Dinwiddie County, Virginia",3823,20501
51057,"Essex County, Virginia",1370,7883
51059,"Fairfax County, Virginia",480163,780061
51061,"Fauquier County, Virginia",17487,48069
51063,"Floyd County, Virginia",2567,11619
51065,"Fluvanna County, Virginia",6544,19285
51067,"Franklin County, Virginia",8920,40822
51069,"Frederick County, Virginia",16864,59684
51071,"Giles County, Virginia",2193,12103
51073,"Gloucester County, Virginia",6300,27051
51075,"Goochland County, Virginia",7159,17126
51077,"Grayson County, Virginia",1649,12001
51079,"Greene County, Virginia",3935,13550
51081,"Greensville County, Virginia",805,8795
51083,"Halifax County, Virginia",3835,24859
51085,"Hanover County, Virginia",29042,73032
51087,"Henrico County, Virginia",99221,226964
51089,"Henry County, Virginia",5268,37831
51091,"Highland County, Virginia",422,1873
51093,"Isle of Wight County, Virginia",7107,26285
51095,"James City County, Virginia",27426,54422
51097,"King and Queen County, Virginia",1234,5222
51099,"King George County, Virginia",6246,17363
51101,"King William County, Virginia",2417,11503
51103,"Lancaster County, Virginia",2717,8621
51105,"Lee County, Virginia",2015,18005
51107,"Loudoun County, Virginia",155565,253596
51109,"Louisa County, Virginia",6308,26220
51111,"Lunenburg County, Virginia",1016,8984
51113,"Madison County, Virginia",2240,9581
51115,"Mathews County, Virginia",1929,6919
51117,"Mecklenburg County, Virginia",4583,22720
51119,"Middlesex County, Virginia",1800,8371
51121,"Montgomery County, Virginia",25446,55964
51125,"Nelson County, Virginia",3368,11091
51127,"New Kent County, Virginia",4218,15699
51131,"Northampton County, Virginia",1970,8704
51133,"Northumberland County, Virginia",2833,9810
51135,"Nottoway County, Virginia",1627,11013
51137,"Orange County, Virginia",6342,25251
51139,"Page County, Virginia",2384,17388
51141,"Patrick County, Virginia",2063,13547
51143,"Pittsylvania County, Virginia",6574,45229
51145,"Powhatan County, Virginia",6228,21304
51147,"Prince Edward County, Virginia",3489,13040
51149,"Prince George County, Virginia",6203,26330
51153,"Prince William County, Virginia",121316,295119
51155,"Pulaski County, Virginia",5126,25571
51157,"Rappahannock County, Virginia",1966,5499
51159,"Richmond County, Virginia",1232,6942
51161,"Roanoke County, Virginia",24021,67542
51163,"Rockbridge County, Virginia",4537,17011
51165,"Rockingham County, Virginia",14475,54936
51167,"Russell County, Virginia",2438,20001
51169,"Scott County, Virginia",2188,16428
51171,"Shenandoah County, Virginia",6353,30957
51173,"Smyth County, Virginia",3292,22499
51175,"Southampton County, Virginia",2432,13213
51177,"Spotsylvania County, Virginia",28052,88387
51179,"Stafford County, Virginia",37498,93950
51181,"Surry County, Virginia",1021,4952
51183,"Sussex County, Virginia",1069,8395
51185,"Tazewell County, Virginia",4550,30468
51187,"Warren County, Virginia",5938,27346
51191,"Washington County, Virginia",9095,39884
51193,"Westmoreland County, Virginia",2537,13191
51195,"Wise County, Virginia",4124,27524
51197,"Wythe County, Virginia",4027,21175
51199,"York County, Virginia",21501,45689
51510,"Alexandria city, Virginia",75483,119631
51520,"Bristol city, Virginia",3068,12084
51530,"Buena Vista city, Virginia",657,4123
51540,"Charlottesville city, Virginia",16679,30356
51550,"Chesapeake city, Virginia",53398,161042
51570,"Colonial Heights city, Virginia",3082,12094
51580,"Covington city, Virginia",621,3984
51590,"Danville city, Virginia",5019,28537
51595,"Emporia city, Virginia",486,3515
51600,"Fairfax city, Virginia",9802,16122
51610,"Falls Church city, Virginia",7430,9580
51620,"Franklin city, Virginia",1099,5762
51630,"Fredericksburg city, Virginia",7061,17265
51640,"Galax city, Virginia",702,4754
51650,"Hampton city, Virginia",24346,90505
51660,"Harrisonburg city, Virginia",9795,27002
51670,"Hopewell city, Virginia",2199,14850
51678,"Lexington city, Virginia",1490,3190
51680,"Lynchburg city, Virginia",15981,44924
51683,"Manassas city, Virginia",7819,26403
51685,"Manassas Park city, Virginia",3093,11099
51690,"Martinsville city, Virginia",1844,8779
51700,"Newport News city, Virginia",30596,116443
51710,"Norfolk city, Virginia",44060,152830
51720,"Norton city, Virginia",625,2747
51730,"Petersburg city, Virginia",4303,21736
51735,"Poquoson city, Virginia",3572,8460
51740,"Portsmouth city, Virginia",13925,63610
51750,"Radford city, Virginia",3115,8200
51760,"Richmond city, Virginia",62578,157879
51770,"Roanoke city, Virginia",16387,69961
51775,"Salem city, Virginia",4775,17108
51790,"Staunton city, Virginia",5890,17644
51800,"Suffolk city, Virginia",17973,60972
51810,"Virginia Beach city, Virginia",110580,307059
51820,"Waynesboro city, Virginia",4159,15332
51830,"Williamsburg city, Virginia",4222,7439
51840,"Winchester city, Virginia",6503,18536