GEO_ID,NAME,S1501_C01_015E
51001,"Accomack County, Virginia",4576
51003,"Albemarle County, Virginia",40215
51005,"Alleghany County, Virginia",1688
51007,"Amelia County, Virginia",1591
51009,"Amherst County, Virginia",4339
51011,"Appomattox County, Virginia",2319
51013,"Arlington County, Virginia",130252
51015,"Augusta County, Virginia",12526
51017,"Bath County, Virginia",500
51019,"Bedford County, Virginia",16558
51021,"Bland County, Virginia",701
51023,"Botetourt County, Virginia",6943
51025,"Brunswick County, Virginia",1670
51027,"Buchanan County, Virginia",1924
51029,"Buckingham County, Virginia",1582
51031,"Campbell County, Virginia",8945
51033,"Caroline County, Virginia",4053
51035,"Carroll County, Virginia",3340
51036,"Charles City County, Virginia",803
51037,"Charlotte County, Virginia",918
51041,"Chesterfield County, Virginia",93507
51043,"Clarke County, Virginia",3332
51045,"Craig County, Virginia",892
51047,"Culpeper County, Virginia",8844
51049,"Cumberland County, Virginia",1057
51051,"Dickenson County, Virginia",1165
51053,"Dinwiddie County, Virginia",3823
51057,"Essex County, Virginia",1370
51059,"Fairfax County, Virginia",480163
51061,"Fauquier County, Virginia",17487
51063,"Floyd County, Virginia",2567
51065,"Fluvanna County, Virginia",6544
51067,"Franklin County, Virginia",8920
51069,"Frederick County, Virginia",16864
51071,"Giles County, Virginia",2193
51073,"Gloucester County, Virginia",6300
51075,"Goochland County, Virginia",7159
51077,"Grayson County, Virginia",1649
51079,"Greene County, Virginia",3935
51081,"Greensville County, Virginia",805
51083,"Halifax County, Virginia",3835
51085,"Hanover County, Virginia",29042
51087,"Henrico County, Virginia",99221
51089,"Henry County, Virginia",5268
51091,"Highland County, Virginia",422
51093,"Isle of Wight County, Virginia",7107
51095,"James City County, Virginia",27426
51097,"King and Queen County, Virginia",1234
51099,"King George County, Virginia",6246
51101,"King William County, Virginia",2417
51103,"Lancaster County, Virginia",2717
51105,"Lee County, Virginia",2015
51107,"Loudoun County, Virginia",155565
51109,"Louisa County, Virginia",6308
51111,"Lunenburg County, Virginia",1016
51113,"Madison County, Virginia",2240
51115,"Mathews County, Virginia",1929
51117,"Mecklenburg County, Virginia",4583
51119,"Middlesex County, Virginia",1800
51121,"Montgomery County, Virginia",25446
51125,"Nelson County, Virginia",3368
51127,"New Kent County, Virginia",4218
51131,"Northampton County, Virginia",1970
51133,"Northumberland County, Virginia",2833
51135,"Nottoway County, Virginia",1627
51137,"Orange County, Virginia",6342
51139,"Page County, Virginia",2384
51141,"Patrick County, Virginia",2063
51143,"Pittsylvania County, Virginia",6574
51145,"Powhatan County, Virginia",6228
51147,"Prince Edward County, Virginia",3489
51149,"Prince George County, Virginia",6203
51153,"Prince William County, Virginia",121316
51155,"Pulaski County, Virginia",5126
51157,"Rappahannock County, Virginia",1966
51159,"Richmond County, Virginia",1232
51161,"Roanoke County, Virginia",24021
51163,"Rockbridge County, Virginia",4537
51165,"Rockingham County, Virginia",14475
51167,"Russell County, Virginia",2438
51169,"Scott County, Virginia",2188
51171,"Shenandoah County, Virginia",6353
51173,"Smyth County, Virginia",3292
51175,"Southampton County, Virginia",2432
51177,"Spotsylvania County, Virginia",28052
51179,"Stafford County, Virginia",37498
51181,"Surry County, Virginia",1021
51183,"Sussex County, Virginia",1069
51185,"Tazewell County, Virginia",4550
51187,"Warren County, Virginia",5938
51191,"Washington County, Virginia",9095
51193,"Westmoreland County, Virginia",2537
51195,"Wise County, Virginia",4124
51197,"Wythe County, Virginia",4027
51199,"York County, Virginia",21501
51510,"Alexandria city, Virginia",75483
51520,"Bristol city, Virginia",3068
51530,"Buena Vista city, Virginia",657
51540,"Charlottesville city, Virginia",16679
51550,"Chesapeake city, Virginia",53398
51570,"Colonial Heights city, Virginia",3082
51580,"Covington city, Virginia",621
51590,"Danville city, Virginia",5019
51595,"Emporia city, Virginia",486
51600,"Fairfax city, Virginia",9802
51610,"Falls Church city, Virginia",7430
51620,"Franklin city, Virginia",1099
51630,"Fredericksburg city, Virginia",7061
51640,"Galax city, Virginia",702
51650,"Hampton city, Virginia",24346
51660,"Harrisonburg city, Virginia",9795
51670,"Hopewell city, Virginia",2199
51678,"Lexington city, Virginia",1490
51680,"Lynchburg city, Virginia",15981
51683,"Manassas city, Virginia",7819
51685,"Manassas Park city, Virginia",3093
51690,"Martinsville city, Virginia",1844
51700,"Newport News city, Virginia",30596
51710,"Norfolk city, Virginia",44060
51720,"Norton city, Virginia",625
51730,"Petersburg city, Virginia",4303
51735,"Poquoson city, Virginia",3572
51740,"Portsmouth city, Virginia",13925
51750,"Radford city, Virginia",3115
51760,"Richmond city, Virginia",62578
51770,"Roanoke city, Virginia",16387
51775,"Salem city, Virginia",4775
51790,"Staunton city, Virginia",5890
51800,"Suffolk city, Virginia",17973
51810,"Virginia Beach city, Virginia",110580
51820,"Waynesboro city, Virginia",4159
51830,"Williamsburg city, Virginia",4222
51840,"Winchester city, Virginia",6503